"codice_1_livello","label_1_livello_it"
"1104","Specialistiche in traduzione letteraria e in traduzione tecnico-scientifica"
"1102","Specialistiche in teoria e tecniche della normazione e dell'informazione giuridica"
"1101","Specialistiche in teoria della comunicazione"
"11","Lingue e culture moderne"
"1099","Specialistiche in studi europei"
"1098","Specialistiche in storia moderna"
"1096","Specialistiche in storia della filosofia"
"1095","Specialistiche in storia dell'arte"
"1093","Specialistiche in storia antica"
"1092","Specialistiche in statistica per la ricerca sperimentale"
"1089","Specialistiche in sociologia"
"1087","Specialistiche in scienze pedagogiche"
"1086","Specialistiche in scienze geologiche"
"1084","Specialistiche in scienze economico-aziendali"
"1083","Specialistiche in scienze economiche per l'ambiente e la cultura"
"1081","Specialistiche in scienze e tecnologie della chimica industriale"
"1079","Specialistiche in scienze e tecnologie agrozootecniche"
"1078","Specialistiche in scienze e tecnologie agroalimentari"
"1077","Specialistiche in scienze e tecnologie agrarie"
"1075","Specialistiche in scienze e tecnica dello sport"
"1074","Specialistiche in scienze e gestione delle risorse rurali e forestali"
"1072","Specialistiche in scienze delle religioni"
"1070","Specialistiche in scienze della politica"
"1069","Specialistiche in scienze della nutrizione umana"
"1067","Specialistiche in scienze della comunicazione sociale e istituzionale"
"1066","Specialistiche in scienze dell'universo"
"1062","Specialistiche in scienze chimiche"
"1061","Specialistiche in scienza e ingegneria dei materiali"
"1060","Specialistiche in relazioni internazionali"
"1058","Specialistiche in psicologia"
"1057","Specialistiche in programmazione e gestione delle politiche e dei servizi sociali"
"1055","Specialistiche in progettazione e gestione dei sistemi turistici"
"1054","Specialistiche in pianificazione territoriale urbanistica e ambientale"
"1053","Specialistiche in organizzazione e gestione dei servizi per lo sport e le attivita motorie"
"1052","Specialistiche in odontoiatria e protesi dentaria"
"1051","Specialistiche in musicologia e beni musicali"
"1050","Specialistiche in modellistica matematico-fisica per l'ingegneria"
"1049","Specialistiche in metodi per la ricerca empirica nelle scienze sociali"
"1048","Specialistiche in metodi per l'analisi valutativa dei sistemi complessi"
"1047","Specialistiche in medicina veterinaria"
"1046","Specialistiche in medicina e chirurgia"
"1045","Specialistiche in matematica"
"1044","Specialistiche in linguistica"
"1042","Specialistiche in lingue e letterature moderne euroamericane"
"1040","Specialistiche in lingua e cultura italiana"
"1038","Specialistiche in ingegneria per l'ambiente e il territorio"
"1037","Specialistiche in ingegneria navale"
"1035","Specialistiche in ingegneria informatica"
"1034","Specialistiche in ingegneria gestionale"
"1032","Specialistiche in ingegneria elettronica"
"1031","Specialistiche in ingegneria elettrica"
"1029","Specialistiche in ingegneria dell'automazione"
"1027","Specialistiche in ingegneria chimica"
"1026","Specialistiche in ingegneria biomedica"
"1024","Specialistiche in informatica per le discipline umanistiche"
"1022","Specialistiche in giurisprudenza"
"1021","Specialistiche in geografia"
"1020","Specialistiche in fisica"
"1019","Specialistiche in finanza"
"1017","Specialistiche in filosofia e storia della scienza"
"1016","Specialistiche in filologia moderna"
"1014","Specialistiche in farmacia e farmacia industriale"
"1013","Specialistiche in editoria, comunicazione multimediale e giornalismo"
"1011","Specialistiche in conservazione dei beni scientifici e della civilta industriale"
"1010","Specialistiche in conservazione dei beni architettonici e ambientali"
"1009","Specialistiche in biotecnologie mediche, veterinarie e farmaceutiche"
"1007","Specialistiche in biotecnologie agrarie"
"1006","Specialistiche in biologia"
"1005","Specialistiche in archivistica e biblioteconomia"
"1004","Specialistiche in architettura e ingegneria edile"
"1003","Specialistiche in architettura del paesaggio"
"1002","Specialistiche in archeologia"
"1001","Specialistiche in antropologia culturale ed etnologia"
"10","Ingegneria industriale"
"1","Biotecnologie"
