LIVELLO;LEMMA_LIVELLO;COD_NODO_IRI;LEMMA_NODO_IT;LEMMA_NODO_EN ;CODICE_PADRE_IRI;COLLEG_MAPPA_CLAIST_SINT;DEFINIZIONE_EN;DEFINIZIONE_IT;ALT_LAB_IT;ALT_LAB_EN;NOTE
2;TIPO - TITOLO;CTS_6_10;Diploma di specializzazione superiore per le tecnologie applicate ITS (triennale);Advanced ITS diploma of specialisation in applied technologies (3 years);CTS_6;;;;;;
2;TIPO - TITOLO;CTS_6_20;Diploma universitario del vecchio ordinamento (biennale/triennale);University diploma under the former system (2 or 3 years);CTS_6;;;;;;
2;TIPO - TITOLO;CTS_6_30;Laurea di 1° livello (triennale);Bachelor’s degree (2 or 3 years);CTS_6;;;;;;
2;TIPO - TITOLO;CTS_6_40;Diploma accademico di 1° livello AFAM (triennale);AFAM academic diploma (3 years);CTS_6;;;;;;
2;TIPO - TITOLO;CTS_6_50;Master universitario o accademico AFAM di 1° livello ;Second-level university or AFAM academic master’s diploma;CTS_6;;;;;;
2;TIPO - TITOLO;CTS_7_10;"Diploma di laurea del vecchio ordinamento  (4-6 anni);
Laurea specialistica/magistrale di 2° livello (biennale);
Laurea specialistica/magistrale  di 2° livello  a ciclo unico (5-6 anni)";"University degree under the former system (4–6 years);
Master’s degree (2-years);
Master’s degree (5–6 years)";CTS_7;;;;;;
2;TIPO - TITOLO;CTS_7_20;"Diploma accademico del vecchio ordinamento  (4-6 anni);
Diploma accademico di 2° livello AFAM (biennale);
Diploma accademico di 2° livello a ciclo unico AFAM (5-6 anni)";"Academic diploma under the former system (4–6 years);
Second-cycle AFAM academic diploma (2 years);
Single-cycle AFAM academic diploma (5–6 years)

";CTS_7;;;;;;
2;TIPO - TITOLO;CTS_7_30;Master universitario o accademico AFAM di 2° livello;Second-level university or AFAM academic master’s diploma;CTS_7;;;;;;
2;TIPO - TITOLO;;Master accademico di 2° livello AFAM;Second-level AFAM academic master’s diploma;CTS_7;;;;;;
2;TIPO - TITOLO;CTS_7_40;Diploma di specializzazione;Specialisation diploma;CTS_7;;;;;;
2;TIPO - TITOLO;CTS_8_10;"Dottore di ricerca (universitario);
Dottore di ricerca (AFAM); Diploma accademico di formazione alla ricerca AFAM";"Doctor of Philosophy (PhD); AFAM PhD and academic diploma in research training";CTS_8;;;;;;
2;TIPO - TITOLO;CTS_99_00;Qualificazione di formazione professionale regionale di area operativa, di area tecnica e di alta formazione;Vocational qualification certificate (regional training courses);CTS_99;;;;;;
3;TITOLO;CTS_0_10_10;"Nessun titolo; Nessun accesso all'istruzione";"No educational degree;  No access to educational system";CTS_0_10;;;;;;
3;TITOLO;CTS_0_10_20;"Nessun titolo; Scuola dell'infanzia e prima infanzia";"No educational degree; Pre-primary education and early childhood";CTS_0_10;"010.01; 010.02; 021.01; 022.01";;;;;
3;TITOLO;CTS_0_10_30;"Nessun titolo; Istruzione primaria non completata";"No educational degree; Not completed primary education";CTS_0_10;;;;;;
3;TITOLO;CTS_1_10_10;Licenza elementare;Primary school certificate;CTS_1_10;101.01;;;;;
3;TITOLO;CTS_1_10_20;Certificazione delle competenze e attestato di valutazione finale;Competency certification - Final evaluation certificate (primary school);CTS_1_10;102.01;;;;;
3;TITOLO;CTS_1_10_30;Attestato di conoscenza della lingua italiana (livello a2);Competency certification - Literacy and learning of Italian language certificate;CTS_1_20;"103.01;103.02";;;;;
3;TITOLO;CTS_2_10_10;Licenza media (inclusa licenza di avviamento professionale);Lower secondary education certificate (vocational training included) ;CTS_2_10;201.01;;;;;
3;TITOLO;CTS_2_10_20;Diploma conclusivo del 1° ciclo di istruzione;Final evaluation certificate (lower secondary school);CTS_2_10;"202.01; 202.02; 203.01; 203.02";;;;;
3;TITOLO;CTS_3_10_10;Diploma di qualifica professionale (triennale);Vocational qualification diploma (3 years);CTS_3_10;"301.01; 304.01";;;;;
3;TITOLO;CTS_3_10_20;Licenza di maestro d'arte;Master craftsman certificate;CTS_3_10;"302.01; 305.01";;;;;
3;TITOLO;CTS_3_10_30;Titolo di abilitazione all'insegnamento nella scuola materna;Pre-school teaching qualification ;CTS_3_10;303.01;;;;;
3;TITOLO;CTS_3_20_10;Attestato di qualifica professionale IeFP di operatore (triennale);IeFP vocational qualification - Operator (3 years);CTS_3_20;"306.01; 306.02; 306.03";;;;;
3;TITOLO;CTS_3_20_20;Diploma professionale IeFP di tecnico (quadriennale);IeFP vocational diploma - Technician (4 years);CTS_3_20;"307.01; 307.02; 307.03";;;;;
3;TITOLO;CTS_3_30_10;Diploma di maturità (Ante 2010);Upper secondary school diploma (Ante 2010);CTS_3_30;"308.01; 309.01; 310.01; 311.01; 312.01; 313.01; 314.01; 317.01; 318.01; 319.01; 320.01; 325.01; 326.01 
";;;;;
3;TITOLO;CTS_3_30_20;Diploma di superamento dell’esame di stato/maturità conclusivo dei corsi di istruzione secondaria di 2° grado ;Upper secondary school diploma;CTS_3_30;"308.02; 308.03; 309.02; 310.02; 310.03; 314.02; 315.01; 315.02; 316.01; 316.02; 321.01; 322.01; 323.01 ";;;;;
3;TITOLO;CTS_4_10_10;Certificato di specializzazione tecnica superiore IFTS;IFTS higher technical specialisation certificate;CTS_4_10;401.01;;;;;
3;TITOLO;CTS_4_10_20;Diploma di specializzazione in enotecnico;Specialisation diploma in oenology;CTS_4_10;402.01;;;;;
3;TITOLO;CTS_5_10_10;Diploma di tecnico superiore ITS (biennale o triennale);ITS Higher technical diploma  (2 or 3 years);CTS_5_10;"501.01; 501.02";;;;;
3;TITOLO;CTS_5_10_20;Diploma di specializzazione per le tecnologie applicate ITS (biennale);"ITS specialisation in applied technologies diploma (2 years)
";CTS_5_10;502.01;;;;;
3;TITOLO;CTS_6_10_10;Diploma di specializzazione superiore per le tecnologie applicate ITS (triennale);Advanced ITS diploma of specialisation in applied technologies (3 years);CTS_6_10;601.01;;;;;
3;TITOLO;CTS_6_20_10;Diploma universitario del vecchio ordinamento (biennale/triennale);University diploma under the former system (2 or 3 years);CTS_6_20;602.01;;;;;
3;TITOLO;CTS_6_30_10;Laurea di 1° livello (triennale);Bachelor’s degree (3 years);CTS_6_30;"603.01; 603.02";;;;;
3;TITOLO;CTS_6_40_10;Diploma accademico di 1° livello AFAM (triennale);AFAM academic diploma (3 years);CTS_6_40;605.01;;;;;
3;TITOLO;CTS_6_50_10;Master universitario di 1° livello;First-level university postgraduate diploma;CTS_6_50;604.01;;;;;
3;TITOLO;CTS_6_50_20;Master accademico di 1° livello AFAM;First-level AFAM academic master’s diploma;CTS_6_50;606.01;;;;;
3;TITOLO;CTS_7_10_10;Diploma di laurea del vecchio ordinamento  (4-6 anni);University degree under the former system (4–6 years);CTS_7_10;701.01;;;;;
3;TITOLO;CTS_7_10_20;Laurea specialistica/magistrale di 2° livello (biennale);Master’s degree (2 years);CTS_7_10;"702.01; 702.02";;;;;
3;TITOLO;CTS_7_10_30;Laurea specialistica/magistrale di 2° livello a ciclo unico (5-6 anni);Master’s degree (5–6 years);CTS_7_10;"703.01; 703.02";;;;;
3;TITOLO;CTS_7_20_10;Diploma accademico del vecchio ordinamento AFAM (4-6 anni);AFAM academic diploma under the former system (4–6 years);CTS_7_20;706.01;;;;;
3;TITOLO;CTS_7_20_20;Diploma accademico di 2° livello AFAM (biennale);Second-cycle AFAM academic diploma (2 years);CTS_7_20;707.01;;;;;
3;TITOLO;CTS_7_20_30;Diploma accademico di 2° livello a ciclo unico AFAM  (5-6 anni);Single-cycle AFAM academic diploma (5–6 years);CTS_7_20;708.01;;;;;
3;TITOLO;CTS_7_30_10;Master universitario di 2° livello;Second-level university master’s diploma;CTS_7_30;704.01;;;;;
3;TITOLO;CTS_7_30_20;Master accademico di 2° livello AFAM;Second-level AFAM academic master’s diploma;CTS_7_30;709.01;;;;;
3;TITOLO;CTS_7_40_10;Diploma di specializzazione;Specialisation diploma;CTS_7_40;"705.01; 705.02";;;;;
3;TITOLO;CTS_8_10_10;Dottore di ricerca (universitario);Doctor of Philosophy (PhD);CTS_8_10;801.01;;;;;
3;TITOLO;CTS_8_10_20;"Dottore di ricerca (AFAM); Diploma accademico di formazione alla ricerca AFAM";AFAM Doctor of Philosophy  (PhD) and AFAM academic diploma in research training;CTS_8_10;"802.01; 803.01";;;;;
3;TITOLO;CTS_99_00_10;Qualificazione di formazione professionale regionale di area operativa, di area tecnica e di alta formazione;Vocational qualification certificate (regional training courses);CTS_99_00;"991.01; 992.01; 993.01";;;;;
