"COD_MECC_SEC95ITA","CORR_COD_ESA95","LIVELLO","COD_MECC_LABEL_IT","COD_MECC_COMMENT_IT","COD_MECC_LABEL_EN","COD_MECC_COMMENT_EN","COD_MECC_UNITO","COD_CHIAVE_PADRE_UNITO"
"CA AA AA AA","",4,"Beni del demanio naturale","Beni di proprietà dello Stato costituiti dal demanio marittimo, dal demanio idrico e forestale.","Natural State-Owned Assets","State-owned assets consisting of maritime, water, and forest public property.","CAAAAAAA","CAAAAA"
"CA AA AA AA AA","",5,"Demanio marittimo","Lido del mare, spiaggia, porti, rade, lagune, foci dei fiumi, bacini d'acqua, canali utilizzabili per uso pubblico marittimo, pertinenze del demanio marittimo.","Maritime public domain","Seashores, beaches, harbours, roadsteads, lagoons, river mouths, water basins, canals usable for public maritime purposes, and appurtenances of the maritime public domain.","CAAAAAAAAA","CAAAAAAA"
"CA AA AA AA BA","",5,"Demanio idrico","Fiumi, laghi, torrenti, rivi, fossati, colatori, acque sotterranee, acque sorgenti, ghiacciai, porti ed approdi destinati alla navigazione interna, acquedotti e canali demaniali.","Water public domain","Rivers, lakes, streams, creeks, ditches, drainage channels, groundwater, spring waters, glaciers, ports and landings intended for inland navigation, and public aqueducts and canals.","CAAAAAAABA","CAAAAAAA"
"CA AA AA AA CA","",5,"Foreste","Patrimonio boschivo nazionale.","Forests","National forest heritage.","CAAAAAAACA","CAAAAAAA"
"CA AA BA","AN.211",3,"TERRENI","Terreni, compresa la copertura del suolo, nonché le relative acque di superficie, su cui sono esercitati i diritti di proprietà. Sono esclusi i fabbricati o le altre opere costruite su di essi o che li attraversano, le coltivazioni, gli alberi e gli animali. I terreni sono costituiti da aree edificabili, terreni sottostanti a fabbricati e ad altre opere, terreni coltivati, parchi con relative acque di superficie, aree archeologiche e terreni sottoposti a tutela, ed altri terreni con relative acque di superficie, come specificato in appresso.","LAND","The ground, including the soil covering and any associated surface waters, over which ownership rights are enforced. Excluded are any buildings or other structures situated on it or running through it; cultivated crops, trees and animals. Land consists of building sites, land underlying buildings and structures, land under cultivation, recreational land and associated surface water, archaeological areas and protected land, and other land and associated surface water, as defined below.","CAAABA","CAAA"
"CA AA BA AA","",4,"Terreni","Terreni, compresa la copertura del suolo, nonché le relative acque di superficie, su cui sono esercitati i diritti di proprietà. Sono esclusi i fabbricati o le altre opere costruite su di essi o che li attraversano, le coltivazioni, gli alberi e gli animali. I terreni sono costituiti da aree edificabili, terreni sottostanti a fabbricati e ad altre opere, terreni coltivati, parchi con relative acque di superficie, aree archeologiche e terreni sottoposti a tutela, ed altri terreni con relative acque di superficie, come specificato in appresso.","Land","The ground, including the soil covering and any associated surface waters, over which ownership rights are enforced. Excluded are any buildings or other structures situated on it or running through it; cultivated crops, trees and animals. Land consists of building sites, land underlying buildings and structures, land under cultivation, recreational land and associated surface water, archaeological areas and protected land, and other land and associated surface water, as defined below.","CAAABAAA","CAAABA"
"CA AA BA AA AA","",5,"AREE EDIFICABILI","Aree per le quali sono prefigurati piani urbanistici.","BUILDING AREAS","Areas for which urban development plans have been envisaged.","CAAABAAAAA","CAAABAAA"
"CA AA BA AA BA","",5,"AREE ASSOGGETTATE A VINCOLI URBANISTICI PREORDINATI ALL'ESPROPRIO","Aree per le quali esistono determinati vincoli urbanistici.","AREAS SUBJECT TO URBAN PLANNING RESTRICTIONS PRELIMINARY TO EXPROPRIATION","Areas for which specific urban planning restrictions have been established.","CAAABAAABA","CAAABAAA"
"CA AA BA AA CA","AN.2111",5,"TERRENI SOTTOSTANTI A FABBRICATI ED ALTRE OPERE","Terreni su cui sono costruiti fabbricati non residenziali, abitazioni ed altre opere o nei quali poggiano le fondazioni di questi, compresi i cortili ed i giardini considerati parte integrante di abitazioni rurali e non rurali e strade di accesso a fattorie.","LAND UNDERLYING BUILDINGS AND STRUCTURES","Land on which dwellings, non-residential buildings and structures are constructed or into which their foundations are dug, including yards and gardens deemed an integral part of farm and non-farm dwellings and access roads to farms.","CAAABAAACA","CAAABAAA"
"CA AA BA AA DA","AN.2112",5,"TERRENI COLTIVATI","Terreni sui quali viene svolta, a fini commerciali o di sussistenza, una attività di produzione agricola o orticola, compresi, in linea di principio, i terreni a frutteto, a vigneto e ad altre coltivazioni.","LAND UNDER CULTIVATION","Land on which agricultural or horticultural production is carried on for commercial or subsistence purposes, including, in principle, land under plantations, orchards and vineyards.","CAAABAAADA","CAAABAAA"
"CA AA BA AA EA","AN.2113",5,"PARCHI CON RELATIVE ACQUE DI SUPERFICIE","Parchi, giardini per uso pubblico.","RECREATIONAL LAND AND ASSOCIATED SURFACE WATER ","Parks and gardens for public use.","CAAABAAAEA","CAAABAAA"
"CA AA BA AA FA","",5,"AREE ARCHEOLOGICHE E TERRENI SOTTOPOSTI A TUTELA","Aree che rivestono interesse archeologico, storico, artistico, ambientale, ivi compresi i tratturi, le centuriazioni, le sostituzioni, le gallerie e simili.","ARCHAEOLOGICAL AREAS AND PROTECTED LAND","Areas of archaeological, historical, artistic, or environmental interest, including ancient drove roads, Roman land divisions, underground structures, tunnels, and similar features.","CAAABAAAFA","CAAABAAA"
"CA AA BA AA GA","AN.2119",5,"ALTRI TERRENI CON RELATIVE ACQUE DI SUPERFICIE","Terreni non classificati altrove, compresi i giardini e le particelle di terreno non coltivate a scopo di sussistenza o commerciali, le superfici pubbliche adibite a pascolo, i terreni circondanti le abitazioni per la parte che eccede i cortili ed i giardini considerati parte integrante delle abitazioni rurali e non rurali e le connesse acque di superficie.","OTHER LAND AND ASSOCIATED SURFACE WATER","Land not elsewhere classified, including gardens and plots not cultivated for subsistence or commercial purposes, communal grazing land, land surrounding dwellings in excess of those yards and gardens deemed an integral part of farm and non-farm dwellings and associated surface water.","CAAABAAAGA","CAAABAAA"
"CA AA CA","AN.212",3,"GIACIMENTI","Riserve comprovate di minerali, poste sulla superficie terrestre o al di sotto di essa, economicamente sfruttabili, considerata la tecnologia attuale ed i prezzi relativi. I giacimenti comprendono le riserve di carbone, di petrolio e di gas naturale, le riserve di minerali metalliferi e le riserve di minerali non metalliferi, come in appresso specificato.","SUBSOIL ASSETS","Proven reserves of mineral deposits located on or below the earth's surface that are economically exploitable, given current technology and relative prices. Subsoil assets consist of coal, oil and natural gas reserves, metallic mineral reserves and non-metallic mineral reserves, as defined below.","CAAACA","CAAA"
"CA AA CA AA","",4,"Giacimenti","Riserve comprovate di minerali, poste sulla superficie terrestre o al di sotto di essa, economicamente sfruttabili, considerata la tecnologia attuale ed i prezzi relativi. I giacimenti comprendono le riserve di carbone, di petrolio e di gas naturale, le riserve di minerali metalliferi e le riserve di minerali non metalliferi, come in appresso specificato.","Subsoil Assets","Proven reserves of mineral deposits located on or below the earth's surface that are economically exploitable, given current technology and relative prices. Subsoil assets consist of coal, oil and natural gas reserves, metallic mineral reserves and non-metallic mineral reserves, as defined below.","CAAACAAA","CAAACA"
"CA AA CA AA AA","AN.2121",5,"RISERVE DI CARBONE, DI PETROLIO E DI GAS NATURALE","Depositi di antracite, di carbone bituminoso e di lignite; campi petroliferi e riserve di gas naturale.","COAL, OIL AND NATURAL GAS RESERVES ","Anthracite, bituminous and brown coal deposits; petroleum and natural gas reserves and fields.","CAAACAAAAA","CAAACAAA"
"CA AA CA AA BA","AN.2122",5,"RISERVE DI MINERALI METALLIFERI","Depositi di minerali di metalli ferrosi e non ferrosi e di metalli preziosi, che non siano siti paleontologici.","METALLIC MINERAL RESERVES","Ferrous, non-ferrous and precious metal ore deposits, excluding paleontological sites.","CAAACAAABA","CAAACAAA"
"CA AA CA AA CA","AN.2123",5,"RISERVE DI MINERALI NON METALLIFERI","Cave di pietra, di argilla e di sabbia; depositi di minerali, di quarzo, di gesso, di altri minerali non metalliferi diversi dal carbone e dal petrolio, che non siano siti paleontologici.","NON-METALLIC MINERAL RESERVES","Stone quarries and clay and sand pits; mineral deposits; deposits of quartz, gypsum,other non-metallic minerals other than coal and petroleum, excluding paleontological sites.","CAAACAAACA","CAAACAAA"
"CA AA DA","AN.213",3,"RISORSE BIOLOGICHE NON COLTIVATE","Animali e piante che forniscono prodotti utilizzabili, sui quali sono esercitati diritti di proprietà, ma la cui crescita naturale e/o la cui rigenerazione non sono gestite o controllate direttamente (es. parchi protetti, zone di pesca nel territorio interno del Paese, acquacoltura).","NON-CULTIVATED BIOLOGICAL RESOURCES ","Animals and plants that yield products over which ownership rights are enforced but for which natural growth and/or regeneration is not under direct control, responsibility and management (e.g., protected parks, fisheries within the territory of the country, aquaculture)","CAAADA","CAAA"
"CA AA DA AA","",4,"Risorse biologiche non coltivate","Animali e piante che forniscono prodotti utilizzabili, sui quali sono esercitati diritti di proprietà, ma la cui crescita naturale e/o la cui rigenerazione non sono gestite o controllate direttamente (es. parchi protetti, zone di pesca nel territorio interno del Paese, acquacoltura).","Non-Cultivated Biological Resources ","Animals and plants that yield products over which ownership rights are enforced but for which natural growth and/or regeneration is not under direct control, responsibility and management (e.g., protected parks, fisheries within the territory of the country, aquaculture)","CAAADAAA","CAAADA"
"CA AA DA AA AA","",5,"RISORSE BIOLOGICHE NON COLTIVATE","Animali e piante che forniscono prodotti utilizzabili, sui quali sono esercitati diritti di proprietà, ma la cui crescita naturale e/o la cui rigenerazione non sono gestite o controllate direttamente (es. parchi protetti, zone di pesca nel territorio interno del Paese, acquacoltura).","NON-CULTIVATED BIOLOGICAL RESOURCES ","Animals and plants that yield products over which ownership rights are enforced but for which natural growth and/or regeneration is not under direct control, responsibility and management (e.g., protected parks, fisheries within the territory of the country, aquaculture)","CAAADAAAAA","CAAADAAA"
"ND","",1,"NON DEFINITO","Voce utilizzata quando il bene non presenta elementi o caratteristiche sufficienti per essere classificato in una categoria specifica all’interno del sistema di classificazione.","UNDEFINED","Used when an asset does not present sufficient elements or characteristics to be assigned to a specific category within the classification system.","ND",""
"NA","",1,"NON APPLICABILE","Voce utilizzata quando la categoria o il parametro considerato non può essere associato al bene in esame, in quanto non pertinente alla sua natura o alla sua funzione.","NOT APPLICABLE","Used when the category or parameter considered cannot be associated with the asset, as it is not relevant to its nature or function.","NA",""
"BA","AN.1",1,"ATTIVITÀ NON FINANZIARIE PRODOTTE","Attività non finanziarie ottenute quale prodotto dei processi di produzione. Le attività prodotte sono costituite da capitale fisso, scorte e oggetti di valore, come specificato in appresso.","NON-FINANCIAL PRODUCTED ASSETS","Non-financial assets that have come into existence as outputs from production processes. Produced assets consist of fixed assets, inventories and valuables, as defined below.","BA",""
"BA AA","AN.11",2,"Capitale fisso","Attività prodotte utilizzate ripetutamente o continuamente nei processi di produzione per più di un anno. Il capitale fisso è composto da beni materiali e beni immateriali come specificato in appresso.","Fixed assets","Produced assets that are used repeatedly or continuously in production processes for more than one year. Fixed assets consist of tangible and intangible fixed assets, as defined below.","BAAA","BA"
"BA AA AA","AN.111",3,"BENI MATERIALI PRODOTTI","Capitale fisso costituito da abitazioni, fabbricati non residenziali, opere permanenti destinate alla difesa nazionale, beni immobili di valore culturale, altre opere diverse delle abitazioni e dai fabbricati, diritti reali di godimento su beni altrui, impianti attrezzature e macchinari, mobili e arredi, mezzi di trasporto, armi ed armamenti militari, materiale bibliografico, equipaggiamenti e vestiari, strumenti musicali, coltivazioni ed allevamenti nonché altri beni materiali prodotti come di seguito specificati.","TANGIBLE FIXED ASSETS","Fixed assets that consist of dwellings; other buildings, permanent structures intended for national defense, immovable property of cultural value, other structures different from dwellings and buildings, rights in rem of enjoyment over property owned by others, plants, equipment and machinery, furniture and furnishings, means of transport, weapons and military armaments, bibliographic material, equipment and clothing, musical instruments, crops and livestock, as well as other produced tangible assets as specified below.","BAAAAA","BAAA"
"BA AA AA AA","AN.1111",4,"Abitazioni","Fabbricati utilizzati interamente o principalmente come abitazioni, comprese le costruzioni annesse, come i garage, e tutti gli impianti permanenti usualmente installati nelle abitazioni. Sono incluse altresì le case galleggianti, le chiatte, le case viaggianti e i caravan utilizzati quali residenze principali delle famiglie, come pure i monumenti storici se destinati principalmente ad abitazioni. Sono inclusi anche i costi dèi lavori di sgombero del cantiere e di preparazione del terreno.
Esempi: edifici residenziali come i fabbricati a uno o due alloggi e gli altri edifici residenziali destinati ad essere occupati stabilmente.
Le abitazioni non completate sono incluse nella misura in cui si considera che l'utilizzatore finale ne è divenuto proprietario o perché sono state costruite per uso proprio o perché è stato stipulato un contratto di compravendita.","Dwellings","Buildings that are used entirely or primarily as residences, including any associated structures, such as garages, and all permanent fixtures customarily installed in residences. Houseboats, barges, mobile homes and caravans used as principal residences of households are also included, as are historic monuments identified primarily as dwellings. Costs of site clearance and preparation are also included.
Examples include residential buildings, such as one- and two-dwelling buildings and other residential buildings intended for non-transient occupancy.
Uncompleted dwellings are included to the extent that the ultimate user is deemed to have taken ownership, either because the construction is on own account or as evidenced by the existence of a contract of sale/purchase.","BAAAAAAA","BAAAAA"
"BA AA AA AA AA","",5,"FABBRICATI CIVILI USO ABITATIVO (INCLUSI GLI ALLOGGI DI SERVIZIO)","Edifici residenziali situati in contesti urbani o civili, destinati a nuclei familiari, comprensivi di eventuali alloggi di servizio e strutture accessorie come garage e impianti permanenti.","RESIDENTIAL BUILDINGS (INCLUDING SERVICE HOUSING)","Residential buildings located in urban or civil contexts, intended for family occupancy, including any service housing and ancillary structures such as garages and permanent installations.","BAAAAAAAAA","BAAAAAAA"
"BA AA AA AA BA","",5,"FABBRICATI RURALI USO ABITATIVO","Abitazioni situate in aree rurali o agricole, comprese le costruzioni annesse necessarie per la vita quotidiana, destinate a essere occupate stabilmente dalle famiglie.","RURAL RESIDENTIAL BUILDINGS","Dwellings situated in rural or agricultural areas, including annexed constructions necessary for daily life, intended for stable family occupancy.","BAAAAAAABA","BAAAAAAA"
"BA AA AA AA EA","",5,"FABBRICATI GESTITI DALLO I.A.C.P.","Abitazioni pubbliche o sociali gestite dall’Istituto Autonomo Case Popolari, destinate a uso residenziale stabile di famiglie con particolari requisiti sociali o economici.","BUILDINGS MANAGED BY I.A.C.P.","Public or social housing managed by the Autonomous Institute for Public Housing (I.A.C.P.), intended for stable residential use by families with specific social or economic requirements.","BAAAAAAAEA","BAAAAAAA"
"BA AA AA AA FA","",5,"FABBRICATI GESTITI DAGLI ENTI TERRITORIALI","Abitazioni di proprietà pubblica o sociale gestite da comuni, province o altre autorità locali, comprese le strutture accessorie e gli impianti permanenti, destinate all’uso residenziale della comunità o di specifici nuclei familiari.","BUILDINGS MANAGED BY LOCAL AUTHORITIES","Public or social housing owned by local authorities (municipalities, provinces, or other territorial entities), including ancillary structures and permanent installations, intended for residential use by the community or specific family units.","BAAAAAAAFA","BAAAAAAA"
"BA AA AA BA","AN.11121",4,"Fabbricati non residenziali","Fabbricati diversi dalle abitazioni, compresi gli impianti e le attrezzature che costituiscono parte integrante delle costruzioni e compresi i costi dei lavori di sgombero dei cantieri e di preparazione del terreno. Sono incluse opere destinate al culto, chiese, certose, abbazie escluse fondo culto. Inoltre arsenali e stabilimenti sia dell'area operativa che dell'area tecnico-industriale della Difesa. Prefabbricati situati in aree militari con destinazione di alloggi temporanei e/o di uffici, officine depositi di materiali. Caserme sino a quando non sono transitate in carico alle Agenzie del Demanio. Gli altri fabbricati non ancora completati sono inclusi nella misura in cui si considera che l'utilizzatore finale ne è divenuto proprietario o perché è stato stipulato un contratto di appalto o perché è stato stipulato un contratto di compravendita.","Non-residential buildings","Buildings other than dwellings, including fixtures, facilities and equipment that are integral parts of the structures and costs of site clearance and preparation. Included are structures intended for worship—churches, charterhouses, abbeys—excluding worship-related land holdings. Also included are arsenals and facilities belonging to both the operational area and the technical-industrial area of the Defence sector. Prefabricated structures located in military areas and used as temporary housing and/or offices, workshops, and material depots. Barracks, until they are transferred to the State Property Agencies. Other buildings not yet completed are included to the extent that the final user is considered to have become the owner, either because a procurement contract has been signed or because a purchase agreement has been concluded.","BAAAAABA","BAAAAA"
"BA AA AA BA AA","",5,"FABBRICATI CIVILI ADIBITI A FINI ISTITUZIONALI (USO GOVERNATIVO E CASERME)","Edifici destinati a uffici pubblici, amministrazioni statali, e caserme fino al momento del trasferimento alla gestione delle Agenzie del Demanio, comprensivi di impianti e strutture permanenti.","CIVIL BUILDINGS FOR INSTITUTIONAL PURPOSES (GOVERNMENT USE AND BARRACKS)","Buildings used as public offices, state administrations, and barracks until transferred to the management of the State Property Agencies, including permanent installations and equipment.","BAAAAABAAA","BAAAAABA"
"BA AA AA BA BA","",5,"FABBRICATI COMMERCIALI","Edifici adibiti ad attività commerciali, come negozi, centri servizi e uffici privati, comprensivi delle attrezzature permanenti necessarie per il funzionamento.","COMMERCIAL BUILDINGS","Buildings used for commercial activities, such as shops, service centers, and private offices, including permanent equipment necessary for operation.","BAAAAABABA","BAAAAABA"
"BA AA AA BA CA","",5,"FABBRICATI RURALI","Costruzioni in aree agricole o rurali utilizzate per attività produttive diverse dall’abitazione, come stalle, magazzini agricoli e depositi di materiali.","RURAL BUILDINGS","Structures in agricultural or rural areas used for productive activities other than housing, such as stables, agricultural warehouses, and material storage facilities.","BAAAAABACA","BAAAAABA"
"BA AA AA BA DA","",5,"FABBRICATI INDUSTRIALI E COSTRUZIONI LEGGERE","Stabilimenti industriali, officine, depositi di materiali e prefabbricati, inclusi quelli situati in aree militari destinati a uffici o alloggi temporanei.","INDUSTRIAL BUILDINGS AND LIGHT CONSTRUCTIONS","Industrial plants, workshops, material depots, and prefabricated structures, including those located in military areas intended for offices or temporary housing.","BAAAAABADA","BAAAAABA"
"BA AA AA BA EA","",5,"OPERE DESTINATE AL CULTO","Edifici religiosi come chiese, certose e abbazie (escluso il fondo culto), comprese le strutture annesse e gli impianti permanenti.","RELIGIOUS BUILDINGS","Religious buildings such as churches, charterhouses, and abbeys (excluding worship-related land), including annexed structures and permanent installations.","BAAAAABAEA","BAAAAABA"
"BA AA AA BA HA","",5,"ALTRO","Altri fabbricati non completati o con destinazioni particolari non ricomprese nelle categorie precedenti, inclusi quelli in costruzione o acquisiti tramite appalto o contratto di compravendita.","OTHER","Other incomplete buildings or buildings with specific purposes not included in the previous categories, including those under construction or acquired through procurement or purchase agreements.","BAAAAABAHA","BAAAAABA"
"BA AA AA CA","",4,"Beni immobili di valore culturale","Fabbricati che presentano interesse artistico, storico, archeologico, paleontologico o che, a causa del loro riferimento con la storia politica, militare, della letteratura, dell'arte e della cultura in genere, siano stati riconosciuti di interesse particolarmente importante, nonché le opere di restauro (da capitalizzarsi) volte a mantenerne l'integrità materiale e ad assicurare la conservazione e la protezione dei loro valori culturali.","Cultural real estate assets","Buildings of artistic, historical, archaeological or paleontological interest, or which, due to their association with political or military history, literature, art, or culture in general, have been recognized as being of particularly significant interest, as well as restoration works (to be capitalized) aimed at maintaining their material integrity and ensuring the preservation and protection of their cultural value.","BAAAAACA","BAAAAA"
"BA AA AA CA BA","",5,"BENI ARTISTICI","Fabbricati riconosciuti di particolare interesse per il loro valore artistico, storico, letterario o culturale, comprendendo anche opere di restauro finalizzate a mantenere l’integrità materiale e la conservazione dei loro valori culturali.","ARTISTIC ASSETS","Buildings recognized as being of particular interest for their artistic, historical, literary, or cultural value, including restoration works aimed at maintaining their material integrity and ensuring the preservation and protection of their cultural significance.","BAAAAACABA","BAAAAACA"
"BA AA AA CA CA","",5,"BENI ARCHEOLOGICI","Fabbricati o strutture con rilevanza archeologica o paleontologica, inclusi siti che documentano periodi storici e culture passate, comprendendo interventi di restauro per la conservazione e protezione dei beni.","ARCHAEOLOGICAL ASSETS","Buildings or structures of archaeological or paleontological relevance, including sites documenting historical periods and past cultures, with restoration interventions intended to preserve and protect the assets.","BAAAAACACA","BAAAAACA"
